Protein	Len	27	32	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value Zstatistic	fdr	FDRup	FDRdown																												
CHOYP_TVAG_355490.16.22|m.50235	967	43	2	-3.544	3.544	-4.6266	4.6266	0	0.586262	0																												
CHOYP_EHI_072050.5.8|m.47580	1287	38	2	-3.371	3.371	-4.451	4.451	0	0.586422	0																												
CHOYP_MDN1.6.8|m.52635	425	12	0	-3.173	3.173	-2.6126	2.6126	0	0.591057	0																												
CHOYP_LOC100375784.2.6|m.7640	5236	11	1	-3.136	3.136	-2.3535	2.3535	0	0.593184	0	CHOYP_LOC100375784.2.6|m.7640	Q4G0P3	HYDIN_HUMAN	42.17	3967	2034	63	1367	5235	1317	5121	0	3097	1	Q4G0P3	HYDIN_HUMAN	reviewed	Hydrocephalus-inducing protein homolog	HYDIN HYDIN1 KIAA1864	Homo sapiens (Human)	5121	axonemal central apparatus assembly [GO:1904158]; cilium movement [GO:0003341]; epithelial cell development [GO:0002064]; trachea development [GO:0060438]; ventricular system development [GO:0021591]	GO:0002064; GO:0003341; GO:0021591; GO:0060438; GO:1904158; GO:1990718				PF15780;PF17213;	axonemal central pair projection [GO:1990718]; axonemal central apparatus assembly [GO:1904158]; cilium movement [GO:0003341]; epithelial cell development [GO:0002064]; trachea development [GO:0060438]; ventricular system development [GO:0021591]
CHOYP_BRAFLDRAFT_131134.3.3|m.16643	650	12	1	-3.113	3.113	-2.4747	2.4747	0	0.592068	0																												
CHOYP_ADAMTS16.1.1|m.28149	558	10	1	-3.095	3.095	-2.2766	2.2766	0	0.594016	0	CHOYP_ADAMTS16.1.1|m.28149	P28891	VM1F_AGKCO	30.32	155	92	7	265	404	49	202	2.00E-10	64.7	1	P28891	VM1F_AGKCO	reviewed	Snake venom metalloproteinase fibrolase (SVMP) (EC 3.4.24.72) (Fibrinolytic metalloproteinase) (Fibrinolytic proteinase) (Alfimeprase)		Agkistrodon contortrix contortrix (Southern copperhead)	203		GO:0004222; GO:0005576; GO:0046872			cd04269;	PF01421;	extracellular region [GO:0005576]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
CHOYP_contig_047731|m.56360	134	10	0	-2.967	2.967	-2.3469	2.3469	0	0.593251	0																												
CHOYP_LOC100378255.1.1|m.63185	1163	9	0	-2.954	2.954	-2.2592	2.2592	0	0.594218	0	CHOYP_LOC100378255.1.1|m.63185	Q8NHU2	CFA61_HUMAN	49.83	1164	551	6	1	1162	105	1237	0	1157	1	Q8NHU2	CFA61_HUMAN	reviewed	Cilia- and flagella-associated protein 61	CFAP61 C20orf26	Homo sapiens (Human)	1237		GO:0016491				PF16092;	oxidoreductase activity [GO:0016491]
CHOYP_BRAFLDRAFT_125880.3.3|m.26918	179	10	1	-2.912	2.912	-2.379	2.379	0	0.59293	0	CHOYP_BRAFLDRAFT_125880.3.3|m.26918	O17450	PE48_CHRBE	31.91	94	62	2	63	155	43	135	0.0000002	53.1	1	O17450	PE48_CHRBE	reviewed	Peritrophin-48		Chrysomya bezziana (Old world screw-worm fly)	379	chitin metabolic process [GO:0006030]	GO:0005576; GO:0006030; GO:0008061				PF01607;	extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitin metabolic process [GO:0006030]
CHOYP_LOC100372473.2.5|m.35440	340	9	0	-2.907	2.907	-2.4434	2.4434	0	0.592334	0																												
CHOYP_LOC100375784.3.6|m.12285	3528	9	1	-2.899	2.899	-2.2016	2.2016	0	0.594925	0	CHOYP_LOC100375784.3.6|m.12285	Q80W93	HYDIN_MOUSE	42.06	3626	1865	55	3	3526	1662	5153	0	2768	1	Q80W93	HYDIN_MOUSE	reviewed	Hydrocephalus-inducing protein (Protein Hy-3)	Hydin Hy3	Mus musculus (Mouse)	5154	axonemal central apparatus assembly [GO:1904158]; cilium movement [GO:0003341]; epithelial cell development [GO:0002064]; multicellular organism development [GO:0007275]; trachea development [GO:0060438]; ventricular system development [GO:0021591]	GO:0002064; GO:0003341; GO:0007275; GO:0021591; GO:0060438; GO:1904158; GO:1990718				PF15780;PF17213;PF00635;	axonemal central pair projection [GO:1990718]; axonemal central apparatus assembly [GO:1904158]; cilium movement [GO:0003341]; epithelial cell development [GO:0002064]; multicellular organism development [GO:0007275]; trachea development [GO:0060438]; ventricular system development [GO:0021591]
CHOYP_contig_016559|m.19503	161	8	0	-2.851	2.851	-2.1598	2.1598	0	0.595477	0																												
