Protein	Len	3	4	8	11	12	16	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value z statistic	fdr	FDRup	FDRdown
CHOYP_LOC100497129.6.8|m.41866	3091	74	190	51	33	43	7	-1.292	1.292	-10.9556	10.9556	0	0.541442	0
CHOYP_BRAFLDRAFT_127065.6.7|m.30727	310	217	315	277	160	181	66	-0.652	0.652	-10.7283	10.7283	0	0.541495	0
CHOYP_LOC100497129.3.8|m.32060	3274	90	214	70	47	56	21	-1.076	1.076	-10.3926	10.3926	0	0.541563	0
CHOYP_DFA_06569.1.1|m.9782	3326	70	126	37	5	11	0	-2.598	2.598	-9.9892	9.9892	0	0.541658	0
CHOYP_LOC100497129.7.8|m.41875	3513	90	224	71	48	56	20	-1.097	1.097	-9.9821	9.9821	0	0.54166	0
CHOYP_BRAFLDRAFT_281651.5.8|m.25278	600	48	71	30	23	20	2	-1.164	1.164	-6.7369	6.7369	0	0.541772	0
CHOYP_VOLCADRAFT_93060.2.2|m.26741	214	156	204	108	103	100	64	-0.524	0.524	-6.6123	6.6123	0	0.541809	0
CHOYP_SSPO.11.14|m.53093	2289	35	65	35	19	17	6	-1.139	1.139	-6.3198	6.3198	0	0.541903	0
CHOYP_LOC100175722.1.3|m.11427	376	26	43	16	8	7	0	-1.667	1.667	-6.2473	6.2473	0	0.541927	0
CHOYP_TEKT3.1.1|m.37281	471	54	105	41	37	33	28	-0.682	0.682	-5.8803	5.8803	0	0.542033	0
CHOYP_SSPO.6.14|m.26542	1649	31	57	32	17	20	6	-1.018	1.018	-5.7927	5.7927	0	0.542063	0
CHOYP_contig_024424|m.27774	2508	26	65	12	10	16	6	-1.127	1.127	-5.5187	5.5187	0	0.54219	0
CHOYP_SSPO.1.14|m.962	1538	28	52	31	16	17	5	-1.032	1.032	-5.4625	5.4625	0	0.542225	0
CHOYP_ISCW_ISCW019177.2.4|m.56600	247	22	32	23	8	11	0	-1.325	1.325	-5.3942	5.3942	0	0.542273	0
CHOYP_SSPO.12.14|m.53188	2626	15	64	11	6	13	9	-1.141	1.141	-5.3613	5.3613	0	0.542297	0
CHOYP_LOC494408.1.1|m.29208	541	23	37	22	11	11	0	-1.261	1.261	-5.1967	5.1967	0	0.542431	0
CHOYP_BRAFLDRAFT_123537.2.2|m.50531	438	28	35	7	11	8	3	-1.151	1.151	-5.1087	5.1087	0	0.542524	0
CHOYP_LOC579012.1.1|m.10830	819	9	39	10	3	3	1	-2.141	2.141	-5.0415	5.0415	0	0.542611	0
CHOYP_LOAG_01021.1.4|m.1826	2467	24	63	18	12	21	8	-0.898	0.898	-4.9826	4.9826	0	0.542701	0
CHOYP_LOC581183.1.1|m.49767	598	13	38	6	4	4	2	-1.73	1.73	-4.9422	4.9422	0	0.542769	0
CHOYP_contig_008002|m.9263	157	15	27	9	2	4	0	-2.016	2.016	-4.9244	4.9244	0	0.5428	0
